,Country,ISO_A3,Stage,Status,Emerging,Controlling,Winning
146,India,IND,1,Emerging,91.50470495223999,20.88915705680847,1.7819315195083618
147,Indonesia,IDN,1,Emerging,81.20261430740356,32.500654458999634,3.360414505004883
148,Iran,IRN,1,Emerging,59.623199701309204,45.26572823524475,7.096242904663086
149,Iraq,IRQ,1,Emerging,91.5029764175415,21.823033690452576,1.786753535270691
150,Ireland,IRL,2,Controlling,9.852933883666992,47.01921045780182,41.337281465530396
151,Israel,ISR,3,Winning,4.436597228050232,37.44530975818634,63.35901618003845
152,Italy,ITA,2,Controlling,14.1844242811203,51.79244875907898,31.075245141983032
153,Jamaica,JAM,2,Controlling,16.0961776971817,40.800365805625916,34.3023806810379
154,Japan,JPN,2,Controlling,9.993544220924377,48.25466871261597,40.319132804870605
155,Jordan,JOR,2,Controlling,21.258431673049927,40.60857594013214,27.34687328338623
156,Kazakhstan,KAZ,1,Emerging,87.81470060348511,26.608064770698547,2.36184298992157
157,Kenya,KEN,1,Emerging,90.51879644393921,20.790502429008484,2.295646071434021
158,"Korea, South",KOR,3,Winning,1.134103536605835,20.31380832195282,87.93338537216187
159,Kosovo,XKS,2,Controlling,14.229881763458252,42.97441244125366,35.831671953201294
160,Kuwait,KWT,1,Emerging,88.94705772399902,24.391883611679077,2.22737193107605
161,Kyrgyzstan,KGZ,1,Emerging,82.08650350570679,32.35330581665039,3.352576494216919
162,Laos,LAO,3,Winning,0.4079490900039673,13.957422971725464,94.46160793304443
163,Latvia,LVA,2,Controlling,12.637975811958313,46.45652174949646,36.242735385894775
164,Lebanon,LBN,1,Emerging,60.858309268951416,40.11656045913696,7.288160920143127
165,Lesotho,LSO,3,Winning,16.019979119300842,5.58217465877533,57.42567777633667
166,Liberia,LBR,1,Emerging,43.105629086494446,41.84677600860596,13.28042447566986
